DayInCycle,AvailableCycles,AverageRelativeVolume,MedianRelativeVolume,HighLiquidityCount_L1,ProbabilityHighLiquidity_L1,HighLiquidityCount_L2,ProbabilityHighLiquidity_L2,HighLiquidityCount_L3,ProbabilityHighLiquidity_L3
1,12,1.077633108594014,1.0052041690252465,5,35.714285714285715,1,7.142857142857142,0,0.0
2,12,1.3506157581417828,0.9286776245240815,5,35.714285714285715,4,28.57142857142857,2,14.285714285714285
3,12,0.632570335107196,0.5734096383934809,1,7.142857142857142,0,0.0,0,0.0
4,12,1.1375783186851736,0.8583385363594738,2,14.285714285714285,1,7.142857142857142,1,7.142857142857142
5,13,1.1293843082086545,1.0842176130172754,6,42.857142857142854,3,21.428571428571427,0,0.0
6,12,0.9132685059463741,0.8129122227601558,2,15.384615384615385,1,7.6923076923076925,1,7.6923076923076925
7,12,1.28735330176796,0.9322656100131619,5,38.46153846153847,3,23.076923076923077,2,15.384615384615385
8,12,0.7571815466557373,0.7855767898398245,0,0.0,0,0.0,0,0.0
9,12,0.9981816767342169,0.9970998876257919,1,7.6923076923076925,1,7.6923076923076925,0,0.0
10,12,1.0166483186762518,0.9342301334942329,3,23.076923076923077,3,23.076923076923077,0,0.0
11,12,0.9934000564757418,0.9712277371089382,1,7.6923076923076925,1,7.6923076923076925,0,0.0
12,12,1.3015659272741023,0.8444922137035624,3,23.076923076923077,2,15.384615384615385,1,7.6923076923076925
13,12,0.7369028809519419,0.6472652662470455,2,15.384615384615385,0,0.0,0,0.0
14,12,0.8647872628899026,0.7947047770346714,2,15.384615384615385,1,7.6923076923076925,0,0.0
15,12,1.1020971508576238,0.9974492847655365,3,23.076923076923077,2,15.384615384615385,1,7.6923076923076925
